frame,time_s,found,x_in,y_in,heading_deg
392,6.5399,1,0.455,24.010,-161.04
393,6.5566,1,0.455,24.010,-161.04
394,6.5732,1,0.455,24.010,-161.04
395,6.5899,1,0.455,24.010,-161.04
396,6.6066,1,0.455,24.010,-161.04
397,6.6233,1,0.455,24.010,-161.04
398,6.6400,1,0.455,24.010,-161.04
399,6.6566,1,0.455,24.010,-161.04
400,6.6733,1,0.455,24.010,-161.04
401,6.6900,1,0.455,24.010,-161.04
402,6.7067,1,0.455,24.010,-161.04
403,6.7234,1,0.455,24.010,-161.04
404,6.7401,1,0.455,24.010,-161.04
405,6.7568,1,0.455,24.010,-161.04
406,6.7734,1,0.455,24.010,-161.04
407,6.7901,1,0.502,24.040,-161.71
408,6.8068,1,0.564,24.046,-160.38
409,6.8235,1,0.685,24.096,-161.71
410,6.8402,1,0.866,24.165,-161.56
411,6.8569,1,1.135,24.243,-161.41
412,6.8735,1,1.465,24.340,-161.41
413,6.8902,1,1.828,24.478,-161.25
414,6.9069,1,2.292,24.626,-161.09
415,6.9236,1,2.817,24.793,-161.25
416,6.9403,1,3.392,24.965,-161.95
417,6.9569,0,,,
418,6.9736,0,,,
419,6.9903,0,,,
420,7.0070,0,,,
421,7.0237,0,,,
422,7.0404,0,,,
423,7.0571,0,,,
424,7.0737,0,,,
425,7.0904,0,,,
426,7.1071,0,,,
427,7.1238,0,,,
428,7.1405,0,,,
429,7.1572,0,,,
430,7.1738,0,,,
431,7.1905,0,,,
432,7.2072,0,,,
433,7.2239,0,,,
434,7.2406,0,,,
435,7.2572,0,,,
436,7.2739,0,,,
437,7.2906,0,,,
438,7.3073,0,,,
439,7.3240,0,,,
440,7.3407,0,,,
441,7.3574,0,,,
442,7.3740,0,,,
443,7.3907,0,,,
444,7.4074,0,,,
445,7.4241,0,,,
446,7.4408,0,,,
447,7.4574,0,,,
448,7.4741,0,,,
449,7.4908,0,,,
450,7.5075,0,,,
451,7.5242,0,,,
452,7.5409,0,,,
453,7.5575,0,,,
454,7.5742,0,,,
455,7.5909,0,,,
456,7.6076,0,,,
457,7.6243,0,,,
458,7.6410,0,,,
459,7.6577,0,,,
460,7.6743,0,,,
461,7.6910,0,,,
462,7.7077,0,,,
463,7.7244,0,,,
464,7.7411,0,,,
465,7.7577,0,,,
466,7.7744,0,,,
467,7.7911,0,,,
468,7.8078,0,,,
469,7.8245,0,,,
470,7.8412,0,,,
471,7.8579,0,,,
472,7.8745,0,,,
473,7.8912,0,,,
474,7.9079,0,,,
475,7.9246,0,,,
476,7.9413,0,,,
477,7.9580,0,,,
478,7.9746,0,,,
479,7.9913,0,,,
480,8.0080,0,,,
481,8.0247,0,,,
482,8.0414,0,,,
483,8.0580,0,,,
484,8.0747,0,,,
485,8.0914,0,,,
486,8.1081,0,,,
487,8.1248,0,,,
488,8.1415,0,,,
489,8.1582,0,,,
490,8.1748,0,,,
491,8.1915,0,,,
492,8.2082,0,,,
493,8.2249,0,,,
494,8.2416,0,,,
495,8.2583,0,,,
496,8.2749,0,,,
497,8.2916,0,,,
498,8.3083,0,,,
499,8.3250,0,,,
500,8.3417,0,,,
501,8.3583,0,,,
502,8.3750,0,,,
503,8.3917,0,,,
504,8.4084,0,,,
505,8.4251,0,,,
506,8.4418,0,,,
507,8.4585,0,,,
508,8.4751,0,,,
509,8.4918,0,,,
510,8.5085,0,,,
511,8.5252,0,,,
512,8.5419,0,,,
513,8.5586,0,,,
514,8.5752,0,,,
515,8.5919,0,,,
516,8.6086,0,,,
517,8.6253,0,,,
518,8.6420,0,,,
519,8.6586,0,,,
520,8.6753,0,,,
521,8.6920,0,,,
522,8.7087,0,,,
523,8.7254,0,,,
524,8.7421,0,,,
525,8.7588,0,,,
526,8.7754,0,,,
527,8.7921,0,,,
528,8.8088,0,,,
529,8.8255,0,,,
530,8.8422,0,,,
531,8.8589,0,,,
532,8.8755,0,,,
533,8.8922,0,,,
534,8.9089,0,,,
535,8.9256,0,,,
536,8.9423,0,,,
537,8.9589,0,,,
538,8.9756,0,,,
539,8.9923,0,,,
540,9.0090,0,,,
541,9.0257,0,,,
542,9.0424,0,,,
543,9.0591,0,,,
544,9.0757,0,,,
545,9.0924,0,,,
546,9.1091,0,,,
547,9.1258,0,,,
548,9.1425,0,,,
549,9.1592,0,,,
550,9.1758,0,,,
551,9.1925,0,,,
552,9.2092,0,,,
553,9.2259,0,,,
554,9.2426,0,,,
555,9.2592,0,,,
556,9.2759,0,,,
557,9.2926,0,,,
558,9.3093,0,,,
559,9.3260,0,,,
560,9.3427,0,,,
561,9.3594,0,,,
562,9.3760,0,,,
563,9.3927,0,,,
564,9.4094,0,,,
565,9.4261,0,,,
566,9.4428,0,,,
567,9.4595,0,,,
568,9.4761,0,,,
569,9.4928,0,,,
570,9.5095,0,,,
571,9.5262,0,,,
572,9.5429,0,,,
573,9.5595,0,,,
574,9.5762,0,,,
575,9.5929,0,,,
576,9.6096,0,,,
577,9.6263,0,,,
578,9.6430,0,,,
579,9.6597,0,,,
580,9.6763,0,,,
581,9.6930,0,,,
582,9.7097,0,,,
583,9.7264,0,,,
584,9.7431,0,,,
585,9.7598,0,,,
586,9.7764,0,,,
587,9.7931,0,,,
588,9.8098,0,,,
589,9.8265,0,,,
590,9.8432,0,,,
591,9.8598,0,,,
592,9.8765,0,,,
593,9.8932,0,,,
594,9.9099,0,,,
595,9.9266,0,,,
596,9.9433,0,,,
597,9.9600,0,,,
598,9.9766,0,,,
599,9.9933,0,,,
600,10.0100,0,,,
601,10.0267,0,,,
602,10.0434,0,,,
603,10.0601,0,,,
604,10.0767,0,,,
605,10.0934,0,,,
606,10.1101,0,,,
607,10.1268,0,,,
608,10.1435,0,,,
609,10.1601,0,,,
610,10.1768,0,,,
611,10.1935,0,,,
612,10.2102,0,,,
613,10.2269,0,,,
614,10.2436,0,,,
615,10.2603,0,,,
616,10.2769,0,,,
617,10.2936,0,,,
618,10.3103,0,,,
619,10.3270,0,,,
620,10.3437,0,,,
621,10.3604,0,,,
622,10.3770,0,,,
623,10.3937,0,,,
624,10.4104,0,,,
625,10.4271,0,,,
626,10.4438,0,,,
627,10.4604,0,,,
628,10.4771,0,,,
629,10.4938,0,,,
630,10.5105,0,,,
631,10.5272,0,,,
632,10.5439,0,,,
633,10.5606,0,,,
634,10.5772,0,,,
635,10.5939,0,,,
636,10.6106,0,,,
637,10.6273,0,,,
638,10.6440,0,,,
639,10.6607,0,,,
640,10.6773,0,,,
641,10.6940,0,,,
642,10.7107,0,,,
643,10.7274,0,,,
644,10.7441,0,,,
645,10.7607,0,,,
646,10.7774,0,,,
647,10.7941,0,,,
648,10.8108,0,,,
649,10.8275,0,,,
650,10.8442,0,,,
651,10.8609,0,,,
652,10.8775,0,,,
653,10.8942,0,,,
654,10.9109,0,,,
655,10.9276,0,,,
656,10.9443,0,,,
657,10.9610,0,,,
658,10.9776,0,,,
659,10.9943,0,,,
660,11.0110,0,,,
661,11.0277,0,,,
662,11.0444,0,,,
663,11.0610,0,,,
664,11.0777,0,,,
665,11.0944,0,,,
666,11.1111,0,,,
667,11.1278,0,,,
668,11.1445,0,,,
669,11.1612,0,,,
670,11.1778,0,,,
671,11.1945,0,,,
672,11.2112,0,,,
673,11.2279,0,,,
674,11.2446,0,,,
675,11.2613,0,,,
676,11.2779,0,,,
677,11.2946,0,,,
678,11.3113,0,,,
679,11.3280,0,,,
680,11.3447,0,,,
681,11.3613,0,,,
682,11.3780,0,,,
