frame,time_s,found,x_in,y_in,heading_deg
721,12.0287,1,25.074,-3.574,-26.37
722,12.0454,1,25.176,-2.719,-18.91
723,12.0621,1,25.168,-1.845,-11.73
724,12.0787,1,25.043,-0.989,-4.00
725,12.0954,1,24.815,-0.151,2.84
726,12.1121,1,24.467,0.653,10.59
727,12.1288,1,24.024,1.389,17.94
728,12.1455,1,23.483,2.071,25.14
729,12.1622,1,22.860,2.679,32.80
730,12.1788,1,22.161,3.202,39.85
731,12.1955,1,21.402,3.633,47.82
733,12.2289,1,19.741,4.192,62.65
734,12.2456,1,18.874,4.310,69.71
735,12.2622,1,17.996,4.325,77.03
736,12.2789,1,17.112,4.222,84.34
737,12.2956,1,16.261,4.015,91.98
740,12.3457,1,13.925,2.785,114.06
741,12.3624,1,13.272,2.199,121.57
742,12.3790,1,12.709,1.538,128.40
743,12.3957,1,12.229,0.815,135.76
746,12.4458,1,11.373,-1.622,157.52
748,12.4791,1,11.332,-3.328,171.97
749,12.4958,1,11.494,-4.173,178.98
750,12.5125,1,11.761,-4.993,-173.63
751,12.5292,1,12.113,-5.772,-166.38
752,12.5459,1,12.580,-6.484,-159.06
753,12.5625,1,13.126,-7.140,-151.63
754,12.5792,1,13.734,-7.732,-144.34
755,12.5959,1,14.435,-8.251,-136.92
756,12.6126,1,15.182,-8.672,-129.42
757,12.6293,1,15.973,-8.996,-121.75
758,12.6460,1,16.815,-9.230,-114.56
759,12.6627,1,17.680,-9.347,-106.86
760,12.6793,1,18.549,-9.366,-99.16
761,12.6960,1,19.411,-9.260,-92.63
762,12.7127,1,20.255,-9.049,-84.53
763,12.7294,1,21.072,-8.735,-77.00
764,12.7461,1,21.806,-8.320,-69.50
765,12.7628,1,22.492,-7.802,-61.88
766,12.7794,1,23.099,-7.211,-54.58
767,12.7961,1,23.602,-6.551,-47.21
768,12.8128,1,24.011,-5.815,-39.76
769,12.8295,1,24.314,-5.038,-32.10
770,12.8462,1,24.499,-4.222,-24.77
771,12.8628,1,24.569,-3.393,-17.19
772,12.8795,1,24.523,-2.564,-10.05
773,12.8962,1,24.359,-1.762,-3.15
774,12.9129,1,24.100,-1.005,3.81
775,12.9296,1,23.781,-0.305,10.21
776,12.9463,1,23.408,0.358,16.54
777,12.9630,1,23.000,0.965,22.53
778,12.9796,1,22.549,1.532,28.10
779,12.9963,1,22.064,2.049,33.92
