frame,time_s,found,x_in,y_in,heading_deg
471,7.8579,1,8.142,6.096,-106.75
472,7.8745,1,8.215,6.477,-106.78
473,7.8912,1,8.294,6.862,-106.95
474,7.9079,1,8.379,7.247,-107.04
475,7.9246,1,8.469,7.633,-107.05
476,7.9413,1,8.565,8.020,-107.10
477,7.9580,1,8.671,8.406,-106.96
478,7.9746,1,8.781,8.803,-106.95
479,7.9913,1,8.887,9.190,-106.82
480,8.0080,1,9.001,9.575,-106.59
481,8.0247,1,9.120,9.965,-106.35
482,8.0414,1,9.269,10.353,-105.90
483,8.0580,1,9.437,10.759,-105.18
484,8.0747,1,9.629,11.136,-103.97
485,8.0914,1,9.844,11.519,-102.45
486,8.1081,1,10.071,11.896,-100.72
487,8.1248,1,10.317,12.271,-98.80
488,8.1415,1,10.571,12.650,-96.34
489,8.1582,1,10.824,13.055,-94.13
490,8.1748,1,11.099,13.453,-91.75
491,8.1915,1,11.365,13.873,-89.09
492,8.2082,1,11.637,14.299,-86.41
493,8.2249,1,11.910,14.741,-83.26
494,8.2416,1,12.185,15.197,-80.45
495,8.2583,1,12.447,15.670,-77.30
496,8.2749,1,12.688,16.171,-74.10
497,8.2916,1,12.936,16.678,-70.99
498,8.3083,1,13.157,17.199,-67.70
499,8.3250,1,13.378,17.748,-64.38
500,8.3417,1,13.573,18.301,-60.97
501,8.3583,1,13.748,18.874,-57.70
502,8.3750,1,13.913,19.465,-54.27
503,8.3917,1,14.042,20.071,-50.81
504,8.4084,1,14.143,20.683,-47.41
505,8.4251,1,14.222,21.305,-44.13
506,8.4418,1,14.281,21.946,-40.50
507,8.4585,1,14.312,22.576,-37.24
587,9.7931,1,-18.470,25.908,101.55
588,9.8098,1,-18.691,25.488,102.79
589,9.8265,1,-18.899,25.052,103.17
590,9.8432,1,-19.070,24.628,103.95
591,9.8598,1,-19.228,24.209,104.42
592,9.8765,1,-19.358,23.799,104.94
593,9.8932,1,-19.461,23.381,104.91
594,9.9099,1,-19.553,22.964,105.18
595,9.9266,1,-19.628,22.557,105.38
596,9.9433,1,-19.687,22.139,105.71
597,9.9600,1,-19.733,21.733,105.67
598,9.9766,1,-19.758,21.324,106.01
599,9.9933,1,-19.770,20.915,106.20
600,10.0100,1,-19.780,20.502,106.40
601,10.0267,1,-19.763,20.104,106.42
602,10.0434,1,-19.749,19.710,106.54
603,10.0601,1,-19.714,19.315,106.55
604,10.0767,1,-19.672,18.920,106.89
605,10.0934,1,-19.618,18.530,107.01
606,10.1101,1,-19.555,18.139,107.19
607,10.1268,1,-19.483,17.750,107.16
608,10.1435,1,-19.408,17.359,107.44
609,10.1601,1,-19.319,16.977,107.26
610,10.1768,1,-19.231,16.591,107.67
611,10.1935,1,-19.131,16.202,107.61
612,10.2102,1,-19.036,15.814,107.82
613,10.2269,1,-18.930,15.423,107.86
614,10.2436,1,-18.814,15.041,107.99
615,10.2603,1,-18.702,14.654,108.00
616,10.2769,1,-18.583,14.265,108.12
617,10.2936,1,-18.462,13.875,108.26
618,10.3103,1,-18.338,13.484,108.32
619,10.3270,1,-18.210,13.099,108.55
620,10.3437,1,-18.081,12.709,108.52
621,10.3604,1,-17.948,12.324,108.68
622,10.3770,1,-17.818,11.938,108.69
623,10.3937,1,-17.690,11.553,108.80
624,10.4104,1,-17.563,11.164,108.84
625,10.4271,1,-17.431,10.778,109.02
626,10.4438,1,-17.294,10.383,109.10
627,10.4604,1,-17.156,9.997,109.21
628,10.4771,1,-17.015,9.615,109.34
629,10.4938,1,-16.881,9.229,109.33
630,10.5105,1,-16.744,8.842,109.53
631,10.5272,1,-16.608,8.460,109.54
632,10.5439,1,-16.472,8.078,109.70
633,10.5606,1,-16.331,7.697,109.85
634,10.5772,1,-16.191,7.314,109.91
635,10.5939,1,-16.054,6.934,109.89
636,10.6106,1,-15.917,6.553,110.13
